id,name,categoryId,syncId,tenant_id,category_name
6ea76af1-fa7c-487d-847a-9bc33a06a2d1,M16 2025,0e7bfdff-aabb-4efa-ad13-ecb419e0beef,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CBMM
c15d6b61-bf9c-4ba0-ae81-a0befa9b49b3,M17 2025,0e7bfdff-aabb-4efa-ad13-ecb419e0beef,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CBMM
69db9f0b-106b-4b5a-97b8-0a283a488e10,M19 2025,0e7bfdff-aabb-4efa-ad13-ecb419e0beef,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CBMM
b752987d-8dc2-46dc-80b9-2060c04af851,Male team,2615dbc1-502d-4a48-9522-b8a3d5e3fe5a,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Team
9c898bd0-eaf3-483e-8d82-d04fa603a939,Medio Scrum,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
211d4dd5-d09b-4945-bfc0-1d53ccc4b540,Migration,0db9ae1a-2464-463a-856c-f5510fe270cf,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Uncategorised
9885fa66-884b-4f1a-a3b7-5b2fc5f96536,Miramar Polo ,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
618fcb92-27a0-4e67-bf23-70300ba1b866,No,8a53265b-a484-4fbb-9ae0-64e1a0daf47f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,HSI
0a4d74e1-9214-4af6-a1e1-e5b2efd3787c,Obras,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
d29bcc9a-7708-40f0-aa3c-fb8a40dcbf74,Octavo,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
97637a3d-8b2c-464e-b849-36328223773c,Olivos RC,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
3a08d3db-dae5-47b4-b115-83e9a8558e56,Opuesto,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
cf455e72-f275-43bc-8298-95fbabaa16d1,Pala,e0afcae8-4d92-4203-b0c5-6b7e6ea7029d,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Amateur
5a61dcf4-045a-4a28-9245-7f0fbeb837ca,Pilar Derecho,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
f091a038-4999-4f78-b8ac-b2300d56a9d8,Pilar Izquierdo,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
a2f84eb5-00c6-414b-a06c-eb30471320f4,Plantel Profesional,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
a1ecef8c-d185-4e45-951c-b6540e390eef,Plantel Superior,0e7bfdff-aabb-4efa-ad13-ecb419e0beef,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CBMM
9245d983-4d56-401d-937f-588f6110fa4b,Primer Equipo,0cd2d321-8c80-41fc-bab3-fd98c53bb178,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CAM
fa63ff93-a4b4-4c3f-a81a-735b04ede4e0,Primera,bee5bb48-4759-4705-8474-b5fc4a111e7d,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CARP
555be4b9-3526-4b25-a01f-9eb6cfe5f69f,Puey,607c24b5-c7b4-4920-a929-a1e68077ce9e,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,HSI Research
8eab57e6-165c-4915-b65b-86d00ae59e2e,Punta,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
a2aea21b-7782-443f-a316-6d829ae74351,RCLM,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
ebcd2131-a7c4-430a-99d8-ea2aef5b4d87,Reserva CAH,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
9b3297d6-ed31-472d-abf9-02335b85e905,River VB,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
a3621206-888d-4615-a6d7-b841746515a2,Rosario Central,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
0506a793-e814-4f14-b7f4-b1f490bb6690,Rugby,82f698f2-7a4b-41bb-958b-5f01defafd28,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Deporte
9944c3cb-7f1d-42dc-a85f-fe95e15b5e62,San Miguel,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
